,IdLandkreis,Refdatum,AnzahlFall
198,1001,2021-08-26,6
199,1001,2021-08-27,11
200,1001,2021-08-28,11
201,1001,2021-08-29,7
202,1001,2021-08-30,13
203,1001,2021-08-31,7
204,1001,2021-09-01,8
205,1001,2021-09-02,7
206,1001,2021-09-03,10
207,1001,2021-09-04,5
208,1001,2021-09-05,6
209,1001,2021-09-06,9
210,1001,2021-09-07,7
211,1001,2021-09-08,6
212,1001,2021-09-09,6
213,1001,2021-09-10,3
214,1001,2021-09-11,5
215,1001,2021-09-13,3
216,1001,2021-09-14,6
217,1001,2021-09-15,2
218,1001,2021-09-16,5
219,1001,2021-09-17,6
220,1001,2021-09-18,4
221,1001,2021-09-19,6
222,1001,2021-09-20,4
223,1001,2021-09-21,5
224,1001,2021-09-22,5
225,1001,2021-09-23,6
226,1001,2021-09-24,6
227,1001,2021-09-25,5
228,1001,2021-09-26,3
229,1001,2021-09-27,4
230,1001,2021-09-28,3
231,1001,2021-09-29,4
232,1001,2021-09-30,1
233,1001,2021-10-01,4
234,1001,2021-10-02,4
235,1001,2021-10-03,8
236,1001,2021-10-04,2
237,1001,2021-10-05,6
238,1001,2021-10-06,2
239,1001,2021-10-07,2
240,1001,2021-10-08,4
241,1001,2021-10-09,3
242,1001,2021-10-10,6
243,1001,2021-10-11,5
244,1001,2021-10-12,4
245,1001,2021-10-13,4
246,1001,2021-10-14,8
247,1001,2021-10-15,8
248,1001,2021-10-16,4
249,1001,2021-10-17,7
250,1001,2021-10-18,13
251,1001,2021-10-19,7
252,1001,2021-10-20,12
253,1001,2021-10-21,11
254,1001,2021-10-22,13
255,1001,2021-10-23,6
256,1001,2021-10-24,5
257,1001,2021-10-25,11
258,1001,2021-10-26,9
259,1001,2021-10-27,13
260,1001,2021-10-28,12
261,1001,2021-10-29,12
262,1001,2021-10-30,18
263,1001,2021-10-31,14
264,1001,2021-11-01,14
265,1001,2021-11-02,10
266,1001,2021-11-03,9
267,1001,2021-11-04,9
268,1001,2021-11-05,8
269,1001,2021-11-06,14
270,1001,2021-11-07,9
271,1001,2021-11-08,17
272,1001,2021-11-09,18
273,1001,2021-11-10,17
274,1001,2021-11-11,12
275,1001,2021-11-12,21
276,1001,2021-11-13,15
277,1001,2021-11-14,19
278,1001,2021-11-15,25
279,1001,2021-11-16,20
280,1001,2021-11-17,22
281,1001,2021-11-18,24
282,1001,2021-11-19,10
283,1001,2021-11-20,12
284,1001,2021-11-21,4
285,1001,2021-11-22,22
286,1001,2021-11-23,27
287,1001,2021-11-24,28
288,1001,2021-11-25,17
289,1001,2021-11-26,17
290,1001,2021-11-27,23
291,1001,2021-11-28,9
292,1001,2021-11-29,12
293,1001,2021-11-30,4
294,1001,2021-12-01,6
295,1001,2021-12-02,5
296,1002,2021-01-01,25
297,1002,2021-01-02,21
298,1002,2021-01-03,23
299,1002,2021-01-04,43
300,1002,2021-01-05,19
301,1002,2021-01-06,19
302,1002,2021-01-07,23
303,1002,2021-01-08,30
304,1002,2021-01-09,22
305,1002,2021-01-10,34
306,1002,2021-01-11,46
307,1002,2021-01-12,22
308,1002,2021-01-13,29
309,1002,2021-01-14,24
310,1002,2021-01-15,25
311,1002,2021-01-16,17
312,1002,2021-01-17,25
313,1002,2021-01-18,20
314,1002,2021-01-19,22
315,1002,2021-01-20,21
316,1002,2021-01-21,25
317,1002,2021-01-22,24
