,Landkreis,IdLandkreis
1482500,LK Karlsruhe,8215
1496038,LK Rastatt,8216
1506060,SK Heidelberg,8221
1512500,SK Mannheim,8222
1527236,LK Neckar-Odenwald-Kreis,8225
1532500,LK Rhein-Neckar-Kreis,8226
1550001,SK Pforzheim,8231
1559364,LK Calw,8235
1567500,LK Enzkreis,8236
1575010,LK Freudenstadt,8237
1582500,SK Freiburg i.Breisgau,8311
1590008,LK Breisgau-Hochschwarzwald,8315
1600000,LK Emmendingen,8316
1607500,LK Ortenaukreis,8317
1622500,LK Rottweil,8325
1630000,LK Schwarzwald-Baar-Kreis,8326
1640000,LK Tuttlingen,8327
1647500,LK Konstanz,8335
1657500,LK Lörrach,8336
1667350,LK Waldshut,8337
1675058,LK Reutlingen,8415
1687500,LK Tübingen,8416
1695010,LK Zollernalbkreis,8417
1705000,SK Ulm,8421
1712303,LK Alb-Donau-Kreis,8425
1720001,LK Biberach,8426
1728173,LK Bodenseekreis,8435
1737500,LK Ravensburg,8436
1747501,LK Sigmaringen,8437
1754529,SK Ingolstadt,9161
1761471,SK München,9162
1790006,SK Rosenheim,9163
1795246,LK Altötting,9171
1802500,LK Berchtesgadener Land,9172
1810140,LK Bad Tölz-Wolfratshausen,9173
1817500,LK Dachau,9174
1827500,LK Ebersberg,9175
1835000,LK Eichstätt,9176
1841194,LK Erding,9177
1847501,LK Freising,9178
1855000,LK Fürstenfeldbruck,9179
1862500,LK Garmisch-Partenkirchen,9180
1867501,LK Landsberg a.Lech,9181
1870968,LK Miesbach,9182
1877444,LK Mühldorf a.Inn,9183
1885000,LK München,9184
1894385,LK Neuburg-Schrobenhausen,9185
1899657,LK Pfaffenhofen a.d.Ilm,9186
1905005,LK Rosenheim,9187
1920000,LK Starnberg,9188
1925016,LK Traunstein,9189
1937503,LK Weilheim-Schongau,9190
1942500,SK Landshut,9261
1947501,SK Passau,9262
1950187,SK Straubing,9263
1953902,LK Deggendorf,9271
1960000,LK Freyung-Grafenau,9272
1966454,LK Kelheim,9273
1972501,LK Landshut,9274
1982501,LK Passau,9275
1992502,LK Regen,9276
1997659,LK Rottal-Inn,9277
2005000,LK Straubing-Bogen,9278
2010001,LK Dingolfing-Landau,9279
2019301,SK Amberg,9361
2022495,SK Regensburg,9362
2028990,SK Weiden i.d.OPf.,9363
2032501,LK Amberg-Sulzbach,9371
2037500,LK Cham,9372
2045056,LK Neumarkt i.d.OPf.,9373
2052517,LK Neustadt a.d.Waldnaab,9374
2057502,LK Regensburg,9375
2065002,LK Schwandorf,9376
2072954,LK Tirschenreuth,9377
2077823,SK Bamberg,9461
2082700,SK Bayreuth,9462
2085218,SK Coburg,9463
2089251,SK Hof,9464
2092501,LK Bamberg,9471
2099590,LK Bayreuth,9472
2102701,LK Coburg,9473
2107514,LK Forchheim,9474
2115000,LK Hof,9475
2120000,LK Kronach,9476
2122709,LK Kulmbach,9477
2127500,LK Lichtenfels,9478
2132146,LK Wunsiedel i.Fichtelgebirge,9479
2136930,SK Ansbach,9561
2139068,SK Erlangen,9562
2142801,SK Fürth,9563
2150244,SK Nürnberg,9564
2157500,SK Schwabach,9565
2160000,LK Ansbach,9571
2167501,LK Erlangen-Höchstadt,9572
2172513,LK Fürth,9573
2177532,LK Nürnberger Land,9574
